,filename,true_label,pred_label,confidence,text_source,alpha,extracted_text
38,positive_649.jpg,Positive,Negative,0.8977709,OCR,0.5,"""All the News
We Hope to Print
VOL CLVI..No. 54,631
The New York Times
Nation Sets Its Sights on
NEW YORK, SATURDAY, JULY 4, 2009
Special Edition
FREE
Building Sane Economy IRAQ WAR ENDS
True Cost Tax, Salary Caps, Trust Busting Top List
The bedr
Troops to Return
Immediately
mander ""True Cost Account
gaphand withdrawal from
Try bill seeks to
property of all cr
Much so, aber the
G Depoput the bra
Why SwNancy whop
Maximum Wage TREASURY
Law Succeeds ANNOUNCES
Salary Caps Will Help
Stabilize Economy
By JE MALONE
C.S. Arap helicopters begin moving to and from Ha's former place
""TRUE COST"" cabers Train for New Life USA Patriot Act Repel
TAX PLAN
By MARCUS
Ex-Secretary
Apologizes for
W.M.D. Scare
WANTON
Op
Det
D
""This is the best a
withdrew from"
67,negative_140.jpg,Negative,Neutral,0.4483145,BLIP,0.5,a large black stone
129,neutral_219.jpg,Neutral,Positive,0.46517447,OCR,0.5,"tell
One day you will
you've overcome what
your story of how
you are going through
now, and it will become
part of someone else's
survival guide.
LIFERHINO
LET NOTHING STAND IN YOUR WAY"
131,negative_106.jpg,Negative,Neutral,0.64345634,BLIP,0.5,a young boy with his mouth open
184,negative_591.jpeg,Negative,Positive,0.5952381,OCR,0.5,"YOU MOTHER FUCKERS
BETTER BE FOLLOWING MY
COMMUNITY STANDARDS"
206,positive_045.jpeg,Positive,Neutral,0.5157848,OCR,0.5,shutterstock.com-536210539
275,positive_091.jpg,Positive,Neutral,0.71843016,BLIP,0.5,a plate of pasta being lifted with a fork
286,positive_113.jpg,Positive,Neutral,0.40546224,BLIP,0.5,a red rose in the garden
333,negative_798.jpg,Negative,Positive,0.5933218,OCR,0.5,"War is evil, but it
is often the lesser
evil.
George Orwell
EVERYDAYPOWER"
364,neutral_811.jpg,Neutral,Negative,0.6464375,OCR,0.5,"NAI
NATUS VINCERE
เปิ
XBET
КУХНЯ
ROSTER MANIA"
376,neutral_918.jpg,Neutral,Negative,0.50908846,OCR,0.5,"π
NEWTON CHANGED THE GAME"
409,neutral_162.jpeg,Neutral,Negative,0.5218726,BLIP,0.5,a man walking on a sidewalk next to a building
452,negative_110.jpg,Negative,Neutral,0.53634554,BLIP,0.5,a man and woman sitting on a couch
473,positive_029.jpeg,Positive,Neutral,0.50703496,OCR,0.5,"TOP 10
FUNNY
VIDEOS
India.com"
475,positive_128.jpeg,Positive,Neutral,0.6293225,OCR,0.5,"WHY IS JUPITER THE MOST BADASS
PLANET IN THE SOLAR SYSTEM?
IT IS THE LARGEST AND
THE OLDEST PLANET.
IT'S SO LARGE THAT
1300 EARTH CAN
FIT INSIDE IT.
IT HAS 79 MOONS,
SOME OF WHICH
ARE LARGER THAN
MERCURY.
IT'S COVERED WITH LARGE
STORMS SOME OF WHICH ARE
EVEN LARGER THAN EARTH.
IT'S CALLED A 'FAILED STAR'.
IF IT HAS ENOUGH MASS, IT'S
CORE COULD'VE SUSTAINED
IT'S GRAVITY PROTECTS
EARTH FROM ASTEROIDS &
COMETS AND STABILIZES THE
SOLAR SYSTEM.
NUCLEAR FUSION LIKE THE SUN. IG/FB:- FREAKY ASTROPHILE"
479,negative_049.jpg,Negative,Neutral,0.5436818,OCR,0.5,"Thank you
for driving
carefully
Cars"
513,positive_121.jpg,Positive,Negative,0.4069993,BLIP,0.5,a man climbing on a rock
550,positive_071.jpg,Positive,Negative,0.4220356,OCR,0.5,CFA
551,positive_389.jpeg,Positive,Neutral,0.5870358,OCR,0.5,"2 DIFFERENT MINDSETS
ENTRE
PRE
NEUR"
566,neutral_182.jpeg,Neutral,Negative,0.5569544,OCR,0.5,"when you see someone suffering from
depression.
We Post memes here, sir."
580,negative_152.jpg,Negative,Neutral,0.45884836,BLIP,0.5,a hospital room with a lot of beds and a lot of people
586,positive_164.jpg,Positive,Neutral,0.5948329,BLIP,0.5,a young girl is smiling while holding a tennis racket
634,negative_098.jpg,Negative,Neutral,0.65013707,OCR,0.5,depositphoto
641,neutral_224.jpg,Neutral,Positive,0.91461563,OCR,0.5,"MILLENIAL MINDSET
IF YOU GENUINELY WANT
SOMETHING, DON'T WAIT FOR IT--
TEACH YOURSELF TO BE IMPATIENT."
644,neutral_101.jpeg,Neutral,Negative,0.53374666,BLIP,0.5,a dog jumping over a rocky beach
673,neutral_735.jpg,Neutral,Positive,0.54531336,OCR,0.5,"SAFE
DON'T EAT!"
687,positive_105.jpg,Positive,Neutral,0.53531224,BLIP,0.5,tulipliplipliplipliplipliplipliplipliplipliplipliplipliplip
704,negative_648.jpg,Negative,Positive,0.93582946,OCR,0.5,"You don't always have to pretend to be strong.
There is no need to prove all the time that
everything is going well."
732,positive_088.jpg,Positive,Neutral,0.6922151,BLIP,0.5,a man is holding a dog in his arms
739,positive_153.jpg,Positive,Neutral,0.5005858,BLIP,0.5,a young boy holding a medal in his hands
761,negative_122.jpg,Negative,Neutral,0.48391417,BLIP,0.5,a woman in a white shirt
868,positive_035.jpeg,Positive,Neutral,0.5663992,BLIP,0.5,a woman in a black dress
907,positive_498.jpg,Positive,Neutral,0.69671595,OCR,0.5,I searched for my dog for 20 minutes
960,positive_142.jpg,Positive,Neutral,0.49107182,BLIP,0.5,a young man smiling and wearing a black shirt
972,positive_058.jpg,Positive,Neutral,0.4682833,BLIP,0.5,women wearing masks and holding hands up to the camera
975,negative_056.jpeg,Negative,Neutral,0.6863032,OCR,0.5,"NOT CUTE
JUST
PSYCHO"
979,positive_139.jpg,Positive,Neutral,0.412622,BLIP,0.5,a woman holding a flower in her hand
1032,positive_156.jpg,Positive,Neutral,0.5448083,BLIP,0.5,a man in a suit and tie smiling
1040,positive_097.jpg,Positive,Neutral,0.7039213,BLIP,0.5,a woman holding a cat in her arms
1082,positive_026.jpg,Positive,Neutral,0.5609676,BLIP,0.5,a room filled with tables and chairs
1094,positive_150.jpg,Positive,Neutral,0.4767729,BLIP,0.5,a man in a suit and tie smiling
1096,neutral_755.jpg,Neutral,Positive,0.49171355,OCR,0.5,"H
THE
H
I
NFINITE
H
WELCOME TO
THE
TEDEd
INFINITE
HOTEL"
1128,neutral_004.jpg,Neutral,Negative,0.6074816,BLIP,0.5,a group of women sitting on the ground
1192,positive_890.jpg,Positive,Neutral,0.4854775,OCR,0.5,"BEST SWEET GOOD MORNING
MESSAGES TO MAKE HER SMILE
TH"
1210,negative_688.jpg,Negative,Positive,0.8669066,OCR,0.5,"""The key to
emotional
enlightenment is the
knowledge that
only your thoughts
can affect your
moods.
-DAVID D. BURNS"
1291,positive_178.jpeg,Positive,Neutral,0.61510533,OCR,0.5,"I'm late for school, but there's
a cat on my lap"
1292,negative_104.jpeg,Negative,Neutral,0.4934557,OCR,0.5,"Me explaining to
my model that it
needs to work or
else I'll lose my job:
My model:
horse
MB"
1301,positive_085.jpg,Positive,Neutral,0.5700962,BLIP,0.5,a road going through a valley with a mountain in the background
1302,positive_067.jpg,Positive,Neutral,0.5706718,BLIP,0.5,a black and white image of a lake with trees in the fore
1306,negative_426.jpeg,Negative,Positive,0.5507019,OCR,0.5,"Scie
Rase In
Solidarity
With Our Sisters
Enough to
ENOUGH"
1315,positive_501.jpg,Positive,Neutral,0.9669877,OCR,0.5,"slate
@PleaseBeGneiss
the geometry is too complicated to
explain here but cutting a sandwich
diagonally gives you more sandwich"
1327,negative_658.jpg,Negative,Positive,0.93574333,OCR,0.5,"UniGreet.com
Trust me,
I will never come into your life,
If you feel better without me."
1340,positive_093.jpg,Positive,Neutral,0.5321462,BLIP,0.5,a man and woman posing for a photo in front of a backdrop
1381,negative_554.jpeg,Negative,Neutral,0.6385258,OCR,0.5,"DBK
DERD
BODY
HINEZ"
1443,negative_137.jpg,Negative,Neutral,0.449997,BLIP,0.5,a picture of a man
1481,negative_556.jpeg,Negative,Neutral,0.8663785,OCR,0.5,"when you're cleaning your room and
find that one condom you left under
your bed 10 years ago"
1494,positive_144.jpg,Positive,Neutral,0.5890732,BLIP,0.5,a man in a blue shirt and bow tie
1539,positive_076.jpg,Positive,Neutral,0.51019764,BLIP,0.5,a person holding a flower in their hand
1621,negative_682.jpg,Negative,Positive,0.5145396,OCR,0.5,"UG
TIME DOESN'T REALLY HEAL
THE HEART. IT JUST MAKES THE
HEART FORGET ALL THE PAIN.
www.Funylife.in"
1635,negative_163.jpeg,Negative,Neutral,0.5944582,BLIP,0.5,a pair of gold and red rhine bangies
1665,negative_092.jpeg,Negative,Neutral,0.49128073,OCR,0.5,OH NO... NO!
